studio,film,total_gross,domestic_gross,international_gross,runtime_min,budget,rating,num_theaters,days_in_theater,open_date,close_date,mov_budget,mov_exp,mov_ext,mov_cat
BV,Guardians of the Galaxy,773328629,333176600,440152029,141,170000000,PG-13,4088,175,2014-08-01,2015-01-23,M,H,M,MHM
BV,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",101379287,66954149,34425138,81,28000000,PG,3117,140,2014-10-10,2015-02-27,L,M,M,LMM
BV,Big Hero 6,657818612,222527828,435290784,108,165000000,PG,3773,203,2014-11-07,2015-05-29,M,H,H,MHH
WB,Horrible Bosses 2,107670357,54445357,53225000,108,42000000,R,3400,86,2014-11-26,2015-02-20,L,M,L,LML
WB,The Hobbit: Battle of the Five Armies,956019788,255119788,700900000,144,250000000,PG-13,3875,107,2014-12-17,2015-04-03,M,H,M,MHM
WB,American Sniper,547426372,350126372,197300000,152,58800000,R,3885,183,2014-12-25,2015-06-26,M,H,M,MHM
BV,Into the Woods,213116401,128002372,85114029,144,50000000,PG,2833,113,2014-12-25,2015-04-17,L,M,M,LMM
FX,Taken 3,326479141,89256424,237222717,109,48000000,PG-13,3594,126,2015-01-09,2015-05-15,M,H,M,MHM
SO,Still Alice,43884652,18754371,25130281,101,5000000,PG-13,1318,0,2015-01-16,2015-01-16,H,L,L,HLL
UN,The Boy Next Door,52425855,35423380,17002475,91,4000000,R,2615,49,2015-01-23,2015-03-13,M,M,L,MML
BV,Strange Magic,13603453,12429583,1173870,99,85000000,PG,3020,84,2015-01-23,2015-04-17,N,M,L,NML
SO,The Wedding Ringer,79799880,64460211,15339669,101,23000000,R,3003,80,2015-01-26,2015-04-16,N,M,L,NML
PT,Project Almanac,33213241,22348241,10865000,106,12000000,PG-13,2900,56,2015-01-30,2015-03-27,N,M,L,NML
PT,The SpongeBob Movie: Sponge Out of Water,325186032,162994032,162192000,93,74000000,PG,3680,112,2015-02-06,2015-05-29,M,H,M,MHM
WB,Jupiter Ascending,183987723,47387723,136600000,147,176000000,PG-13,3181,91,2015-02-06,2015-05-08,N,M,L,NML
UN,Seventh Son,114178613,17223265,96955348,102,95000000,PG-13,2875,42,2015-02-06,2015-03-20,L,M,L,LML
UN,Fifty Shades of Grey,571006128,166167230,404838898,125,40000000,R,3655,84,2015-02-13,2015-05-08,H,H,L,HHL
FX,Kingsman: The Secret Circle,414351546,128261724,286089822,149,81000000,R,3282,147,2015-02-13,2015-07-10,M,M,M,MMM
BV,"McFarland, USA",45710059,44482410,1227649,148,25000000,PG,2792,140,2015-02-20,2015-07-10,N,M,M,NMM
PT,Hot Tub Time Machine 2,13081651,12314651,767000,93,14000000,R,2901,35,2015-02-20,2015-03-27,N,M,L,NML
WB,Focus (2015),159062963,53862963,105200000,104,50100000,R,3323,70,2015-02-27,2015-05-08,M,M,L,MML
SO,Chappie (2015),102069268,31569268,70500000,120,49000000,R,3201,59,2015-03-06,2015-05-04,L,M,L,LML
FX,Unfinished Business,14431253,10219501,4211752,91,35000000,R,2777,42,2015-03-06,2015-04-17,N,M,L,NML
BV,Cinderella (2015),543514353,201151353,342363000,112,95000000,PG,3848,189,2015-03-13,2015-09-18,M,H,M,MHM
WB,Run All Night,71661644,26461644,45200000,114,50000000,R,3171,56,2015-03-13,2015-05-08,N,M,L,NML
FX,Home (2015),386041607,177397510,208644097,94,135000000,PG,3801,168,2015-03-27,2015-09-11,L,H,M,LHM
WB,Get Hard,111811453,90411453,21400000,100,40000000,R,3212,105,2015-03-27,2015-07-10,N,M,M,NMM
UN,Furious 7,1516045911,353007020,1163038891,137,190000000,PG-13,4022,97,2015-04-03,2015-07-09,H,H,L,HHL
FX,The Longest Ride,62944815,37446117,25498698,139,34000000,PG-13,3371,91,2015-04-10,2015-07-10,N,M,L,NML
SO,Paul Blart: Mall Cop 2,107588225,71038190,36550035,94,30000000,PG,3633,108,2015-04-17,2015-08-03,L,H,M,LHM
UN,Unfriended,64056643,32482090,31574553,83,1000000,R,2775,42,2015-04-17,2015-05-29,H,M,L,HML
BV,Monkey Kingdom,17143322,16432322,711000,81,0,G,2012,98,2015-04-17,2015-07-24,N,M,L,NML
BV,Avengers: Age of Ultron,1405403694,459005868,946397826,161,250000000,PG-13,4276,161,2015-05-01,2015-10-09,M,H,M,MHM
WB,Hot Pursuit,51680201,34580201,17100000,87,35000000,PG-13,3037,84,2015-05-08,2015-07-31,N,M,L,NML
WB,Mad Max: Fury Road,378858340,154058340,224800000,120,150000000,R,3722,133,2015-05-15,2015-09-25,L,H,M,LHM
UN,Pitch Perfect 2,287506194,184296230,103209964,115,29000000,PG-13,3660,76,2015-05-15,2015-07-30,M,H,L,MHL
BV,Tomorrowland,209154322,93436322,115718000,150,190000000,PG,3972,119,2015-05-22,2015-09-18,N,H,M,NHM
FX,Poltergeist (2015),95437994,47425125,48012869,93,35000000,PG-13,3242,77,2015-05-22,2015-08-07,L,M,L,LML
WB,San Andreas,473990832,155190832,318800000,114,110000000,PG-13,3812,140,2015-05-29,2015-10-16,M,H,M,MHM
SO,Aloha (2015),26250020,21067116,5182904,105,37000000,PG-13,2815,63,2015-05-29,2015-07-31,N,M,L,NML
WB,Entourage,49263404,32363404,16900000,104,30000000,R,3108,72,2015-06-03,2015-08-14,N,M,L,NML
FX,Spy,235666219,110825712,124840507,120,65000000,R,3715,126,2015-06-05,2015-10-09,L,H,M,LHM
UN,Jurassic World,1671713208,652270625,1019442583,122,150000000,PG-13,4291,120,2015-06-12,2015-10-10,H,H,M,HHM
BV,Inside Out,857611174,356461711,501149463,94,175000000,PG,4158,175,2015-06-19,2015-12-11,M,H,M,MHM
UN,Ted 2,216691733,81476385,135215348,115,68000000,R,3448,59,2015-06-26,2015-08-24,L,M,L,LML
WB,Max (2015),43967255,42656255,1311000,111,20000000,PG,2870,112,2015-06-26,2015-10-16,N,M,M,NMM
PT,Terminator: Genisys,440603537,89760956,350842581,126,155000000,PG-13,3783,79,2015-07-01,2015-09-18,M,H,L,MHL
WB,Magic Mike XXL,122513057,66013057,56500000,115,14800000,R,3376,86,2015-07-01,2015-09-25,M,M,L,MML
UN,Minions,1159398397,336045770,823352627,91,74000000,PG,4311,161,2015-07-10,2015-12-18,H,H,M,HHM
WB,The Gallows,42964410,22764410,20200000,81,100000,R,2720,70,2015-07-10,2015-09-18,H,M,L,HML
BV,Ant-Man,519311965,180202163,339109802,117,130000000,PG-13,3868,154,2015-07-17,2015-12-18,M,H,M,MHM
UN,Trainwreck,140795793,110212700,30583093,125,35000000,R,3171,87,2015-07-17,2015-10-12,N,M,L,NML
SO,Pixels,244874809,78747585,166127224,105,88000000,PG-13,3723,108,2015-07-24,2015-11-09,L,H,M,LHM
FX,Paper Towns,85512300,32000304,53511996,109,12000000,PG-13,3031,84,2015-07-24,2015-10-16,M,M,L,MML
