studio,film,total_gross,domestic_gross,international_gross,runtime_min,budget,rating,num_theaters,days_in_theater,open_date
Buena Vista,Guardians of the Galaxy,773328629,333176600,440152029,141,170000000,PG-13,4088,175,2014-08-01
Buena Vista,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",101379287,66954149,34425138,81,28000000,PG,3117,140,2014-10-10
Buena Vista,Big Hero 6,657818612,222527828,435290784,108,165000000,PG,3773,203,2014-11-07
WB,Horrible Bosses 2,107670357,54445357,53225000,108,42000000,R,3400,86,2014-11-26
WB,The Hobbit: Battle of the Five Armies,956019788,255119788,700900000,144,250000000,PG-13,3875,107,2014-12-17
WB,American Sniper,547426372,350126372,197300000,152,58800000,R,3885,183,2014-12-25
Buena Vista,Into the Woods,213116401,128002372,85114029,144,50000000,PG,2833,113,2014-12-25
20th Century Fox,Taken 3,326479141,89256424,237222717,109,48000000,PG-13,3594,126,2015-01-09
Sony,Still Alice,43884652,18754371,25130281,101,5000000,PG-13,1318,0,2015-01-16
Universal,The Boy Next Door,52425855,35423380,17002475,91,4000000,R,2615,49,2015-01-23
Buena Vista,Strange Magic,13603453,12429583,1173870,99,85000000,PG,3020,84,2015-01-23
Sony,The Wedding Ringer,79799880,64460211,15339669,101,23000000,R,3003,80,2015-01-26
Paramount,Project Almanac,33213241,22348241,10865000,106,12000000,PG-13,2900,56,2015-01-30
Paramount,The SpongeBob Movie: Sponge Out of Water,325186032,162994032,162192000,93,74000000,PG,3680,112,2015-02-06
WB,Jupiter Ascending,183987723,47387723,136600000,147,176000000,PG-13,3181,91,2015-02-06
Universal,Seventh Son,114178613,17223265,96955348,102,95000000,PG-13,2875,42,2015-02-06
Universal,Fifty Shades of Grey,571006128,166167230,404838898,125,40000000,R,3655,84,2015-02-13
20th Century Fox,Kingsman: The Secret Circle,414351546,128261724,286089822,149,81000000,R,3282,147,2015-02-13
Buena Vista,"McFarland, USA",45710059,44482410,1227649,148,25000000,PG,2792,140,2015-02-20
Paramount,Hot Tub Time Machine 2,13081651,12314651,767000,93,14000000,R,2901,35,2015-02-20
WB,Focus (2015),159062963,53862963,105200000,104,50100000,R,3323,70,2015-02-27
Sony,Chappie (2015),102069268,31569268,70500000,120,49000000,R,3201,59,2015-03-06
20th Century Fox,Unfinished Business,14431253,10219501,4211752,91,35000000,R,2777,42,2015-03-06
Buena Vista,Cinderella (2015),543514353,201151353,342363000,112,95000000,PG,3848,189,2015-03-13
WB,Run All Night,71661644,26461644,45200000,114,50000000,R,3171,56,2015-03-13
20th Century Fox,Home (2015),386041607,177397510,208644097,94,135000000,PG,3801,168,2015-03-27
WB,Get Hard,111811453,90411453,21400000,100,40000000,R,3212,105,2015-03-27
Universal,Furious 7,1516045911,353007020,1163038891,137,190000000,PG-13,4022,97,2015-04-03
20th Century Fox,The Longest Ride,62944815,37446117,25498698,139,34000000,PG-13,3371,91,2015-04-10
