Day,BOLETOS,day_of_week,Día,Nombre,Tipo
2016-01-01,2.08225908,4,Viernes,Año Nuevo,Descanso obligatorio
2016-01-02,2.051443455,5,Sábado,Vacaciones de invierno,Vacaciones escolares
2016-01-03,2.097130302,6,Domingo,Vacaciones de invierno,Vacaciones escolares
2016-01-04,0.6782154490000001,0,Lunes,Vacaciones de invierno,Vacaciones escolares
2016-01-05,0.736245508,1,Martes,Vacaciones de invierno,Vacaciones escolares
2016-01-06,0.820632108,2,Miércoles,Vacaciones de invierno,Vacaciones escolares
2016-01-07,0.373011265,3,,,
2016-01-08,1.00343821,4,,,
2016-01-09,1.6502760159999998,5,,,
2016-01-10,2.0119412619999997,6,,,
2016-01-11,0.218342728,0,,,
2016-01-12,0.411420705,1,,,
2016-01-13,0.657763034,2,,,
2016-01-14,0.34658622200000005,3,,,
2016-01-15,1.019532662,4,,,
2016-01-16,1.608265385,5,,,
2016-01-17,2.054819571,6,,,
2016-01-18,0.22272678699999998,0,,,
2016-01-19,0.396428791,1,,,
2016-01-20,0.647686876,2,,,
2016-01-21,0.549577259,3,,,
2016-01-22,1.248126731,4,,,
2016-01-23,1.839945257,5,,,
2016-01-24,2.037185479,6,,,
2016-01-25,0.29941518899999997,0,,,
2016-01-26,0.475625631,1,,,
2016-01-27,0.707964417,2,,,
2016-01-28,0.466338865,3,,,
2016-01-29,1.834259681,4,,,
2016-01-30,2.1827499180000003,5,,,
2016-01-31,3.115004931,6,,,
2016-02-01,2.4318224980000003,0,Lunes,Día de la Constitución Méxicana,Descanso obligatorio
2016-02-02,0.47242239799999997,1,,,
2016-02-03,0.827456104,2,,,
2016-02-04,0.486866305,3,,,
2016-02-05,1.231347269,4,,,
2016-02-06,1.701195028,5,,,
2016-02-07,1.5286444909999999,6,,,
2016-02-08,0.37251871,0,,,
2016-02-09,0.469183284,1,,,
2016-02-10,0.5018484329999999,2,,,
2016-02-11,0.574041871,3,,,
2016-02-12,2.18680452,4,,,
2016-02-13,2.53010826,5,,,
2016-02-14,3.587556845,6,,,
2016-02-15,0.91575378,0,,,
2016-02-16,0.876280944,1,,,
2016-02-17,1.069851475,2,,,
2016-02-18,0.6389970460000001,3,,,
2016-02-19,1.964267889,4,,,
2016-02-20,2.561475154,5,,,
2016-02-21,3.043839007,6,,,
2016-02-22,0.600284244,0,,,
2016-02-23,0.658960169,1,,,
2016-02-24,0.924472967,2,,,
2016-02-25,0.730524051,3,,,
2016-02-26,1.922697621,4,,,
2016-02-27,2.176451096,5,,,
2016-02-28,2.4583062559999997,6,,,
2016-02-29,0.516109671,0,,,
2016-03-01,0.595645754,1,,,
2016-03-02,0.890998855,2,,,
2016-03-03,0.526459832,3,,,
2016-03-04,1.267140627,4,,,
2016-03-05,1.663636956,5,,,
2016-03-06,2.181021086,6,,,
2016-03-07,0.33920443299999997,0,,,
2016-03-08,0.458304686,1,,,
2016-03-09,0.578983722,2,,,
2016-03-10,0.500478415,3,,,
2016-03-11,1.771264937,4,,,
2016-03-12,2.295398038,5,,,
2016-03-13,2.549024297,6,,,
2016-03-14,0.568672704,0,,,
2016-03-15,0.7310655340000001,1,,,
2016-03-16,1.000949343,2,,,
2016-03-17,0.857006092,3,,,
2016-03-18,1.108257653,4,,,
2016-03-19,1.690296859,5,,,
2016-03-20,2.47450509,6,,,
