Fecha,Día,Nombre,Tipo
01/01/2016,Viernes,Año Nuevo,Descanso obligatorio
01/02/2016,Sábado,Vacaciones de invierno,Vacaciones escolares
01/03/2016,Domingo,Vacaciones de invierno,Vacaciones escolares
01/04/2016,Lunes,Vacaciones de invierno,Vacaciones escolares
01/05/2016,Martes,Vacaciones de invierno,Vacaciones escolares
01/06/2016,Miércoles,Vacaciones de invierno,Vacaciones escolares
02/01/2016,Lunes,Día de la Constitución Méxicana,Descanso obligatorio
03/21/2016,Lunes,Natalicio de Benito Juárez,Descanso obligatorio
03/22/2016,Martes,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
03/23/2016,Miércoles,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
03/24/2016,Jueves,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
03/25/2016,Viernes,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
03/26/2016,Sábado,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
03/27/2016,Domingo,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
03/28/2016,Lunes,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
03/29/2016,Martes,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
03/30/2016,Miércoles,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
03/31/2016,Jueves,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
04/01/2016,Viernes,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
04/02/2016,Sábado,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
04/03/2016,Domingo,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
04/04/2016,Lunes,Vacaciones de Semana Santa y Pascua,Vacaciones escolares
05/01/2016,Domingo,Día del trabajo,Descanso obligatorio
05/05/2016,Jueves,Batalla de Puebla,Vacaciones escolares
05/10/2016,Martes,Día de la Madre,No obligatorio
05/15/2016,Domingo,Día del Maestro,No obligatorio
07/15/2016,Viernes,Vacaciones de Verano,Vacaciones escolares
07/16/2016,Sábado,Vacaciones de Verano,Vacaciones escolares
07/17/2016,Domingo,Vacaciones de Verano,Vacaciones escolares
07/18/2016,Lunes,Vacaciones de Verano,Vacaciones escolares
07/19/2016,Martes,Vacaciones de Verano,Vacaciones escolares
07/20/2016,Miércoles,Vacaciones de Verano,Vacaciones escolares
07/21/2016,Jueves,Vacaciones de Verano,Vacaciones escolares
07/22/2016,Viernes,Vacaciones de Verano,Vacaciones escolares
07/23/2016,Sábado,Vacaciones de Verano,Vacaciones escolares
07/24/2016,Domingo,Vacaciones de Verano,Vacaciones escolares
07/25/2016,Lunes,Vacaciones de Verano,Vacaciones escolares
07/26/2016,Martes,Vacaciones de Verano,Vacaciones escolares
07/27/2016,Miércoles,Vacaciones de Verano,Vacaciones escolares
07/28/2016,Jueves,Vacaciones de Verano,Vacaciones escolares
07/29/2016,Viernes,Vacaciones de Verano,Vacaciones escolares
07/30/2016,Sábado,Vacaciones de Verano,Vacaciones escolares
07/31/2016,Domingo,Vacaciones de Verano,Vacaciones escolares
08/01/2016,Lunes,Vacaciones de Verano,Vacaciones escolares
08/02/2016,Martes,Vacaciones de Verano,Vacaciones escolares
08/03/2016,Miércoles,Vacaciones de Verano,Vacaciones escolares
