Day,BOLETOS,month,day_name,day_type,day_tipo,April,August,December,February,January,July,June,March,May,November,October,September,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,weekday,weekend,HDAY,LDAY,NDAY,RDAY,BV,WB,FX,SO,UN,PT,MHM,LMM,MHH,LML,HLL,MML,NML,HHL,MMM,NMM,LHM,HML,MHL,NHM,HHM,NHL,LHL,NLL,HMM,NLM,HMH
2016-01-01,2.08225908,January,Friday,weekday,RDAY,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,3,6,7,5,2,2,6,1,0,1,0,0,8,0,3,0,4,0,0,0,0,1,1,0,0,0,0
2016-01-02,2.051443455,January,Saturday,weekend,HDAY,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,3,6,7,5,2,2,6,1,0,1,0,0,8,0,3,0,4,0,0,0,0,1,1,0,0,0,0
2016-01-03,2.097130302,January,Sunday,weekend,HDAY,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,3,6,7,5,2,2,6,1,0,1,0,0,8,0,3,0,4,0,0,0,0,1,1,0,0,0,0
2016-01-04,0.6782154490000001,January,Monday,weekday,HDAY,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,3,6,6,5,2,2,6,1,0,1,0,0,7,0,3,0,4,0,0,0,0,1,1,0,0,0,0
2016-01-05,0.736245508,January,Tuesday,weekday,HDAY,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,3,6,6,5,2,2,6,1,0,1,0,0,7,0,3,0,4,0,0,0,0,1,1,0,0,0,0
2016-01-06,0.820632108,January,Wednesday,weekday,HDAY,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,3,6,6,5,2,2,6,1,0,1,0,0,7,0,3,0,4,0,0,0,0,1,1,0,0,0,0
2016-01-07,0.373011265,January,Thursday,weekday,NDAY,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,3,6,6,5,2,2,6,1,0,1,0,0,7,0,3,0,4,0,0,0,0,1,1,0,0,0,0
2016-01-08,1.00343821,January,Friday,weekday,NDAY,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3,6,6,5,2,2,6,1,0,1,0,0,7,0,3,0,4,0,0,0,0,1,1,0,0,0,0
2016-01-09,1.6502760159999998,January,Saturday,weekend,NDAY,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,3,4,6,5,2,2,6,1,0,1,0,0,7,0,2,0,4,0,0,0,0,0,1,0,0,0,0
2016-01-10,2.011941262,January,Sunday,weekend,NDAY,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,3,4,6,5,2,2,6,1,0,1,0,0,7,0,2,0,4,0,0,0,0,0,1,0,0,0,0
